timestamp,time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,RAM,SWAP,EMC,GPU,APE,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVENC,NVJPG,NVJPG1,OFA,PVA0_CPU_AXI,PVA0_VPS,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp iwlwifi,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDDQ_VDD2_1V8AO,Power VDD_CPU_CV,Power VDD_GPU_SOC,Power VIN_SYS_5V0,Power TOT,jetson_clocks,nvp model
1762961545.780745,2025-11-12 15:32:25.780649,0:21:12.230000,18,19,18,18,20,19,19,19,0.3174744722344592,0.0,0,43.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.593,-256,-256,-256,56.531,37.0,56.562,57.781,56.812,62.593,1797,6790,6128,5800,20515,ON,MAXN
1762961546.7814069,2025-11-12 15:32:26.781220,0:21:13.230000,74,73,76,78,75,74,86,76,0.31672472971985943,0.0,0,55.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.906,-256,-256,-256,56.718,42.0,56.656,57.812,56.812,62.906,1797,6790,5909,5699,20195,ON,MAXN
1762961547.7829003,2025-11-12 15:32:27.782722,0:21:14.230000,67,68,76,57,78,70,61,67,0.3172545884827232,0.0,0,72.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.062,-256,-256,-256,56.406,38.0,56.687,57.718,56.812,63.062,1697,6571,6128,5699,20095,ON,MAXN
1762961548.7844057,2025-11-12 15:32:28.784215,0:21:15.230000,66,74,67,61,84,65,72,68,0.3164298971661718,0.0,0,60.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.812,-256,-256,-256,56.312,37.0,56.718,58.031,56.843,62.812,1597,6133,5914,5500,19144,ON,MAXN
1762961549.7854443,2025-11-12 15:32:29.785225,0:21:16.230000,66,74,74,75,66,77,70,78,0.3161463896436789,0.0,0,58.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.125,-256,-256,-256,56.406,41.0,56.781,58.093,56.781,63.406,1697,6790,6128,5699,20314,ON,MAXN
1762961550.7869418,2025-11-12 15:32:30.786763,0:21:17.230000,66,63,69,69,78,73,70,66,0.31607614900076325,0.0,0,71.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.656,-256,-256,-256,56.531,38.0,56.937,57.812,56.843,62.25,1697,6352,6133,5699,19881,ON,MAXN
1762961551.7884264,2025-11-12 15:32:31.788240,0:21:18.230000,64,65,93,57,60,65,73,63,0.31642607973992637,0.0,0,57.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.906,-256,-256,-256,56.593,41.0,56.843,58.062,56.812,62.906,1697,6571,6133,5699,20100,ON,MAXN
1762961552.7895582,2025-11-12 15:32:32.789378,0:21:19.230000,62,59,58,60,65,63,84,53,0.31569287940572344,0.0,0,64.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.718,-256,-256,-256,56.468,42.0,56.843,58.187,56.875,62.718,1697,6133,6133,5699,19662,ON,MAXN
1762961553.791021,2025-11-12 15:32:33.790837,0:21:20.230000,70,55,66,65,71,72,90,59,0.316124121323914,0.0,0,59.4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.968,-256,-256,-256,56.75,38.0,56.812,58.093,57.0,62.968,1697,6571,6133,5699,20100,ON,MAXN
1762961554.7925053,2025-11-12 15:32:34.792316,0:21:21.240000,69,69,65,64,68,82,64,70,0.31638854171517977,0.0,0,61.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.875,-256,-256,-256,56.781,41.0,56.937,58.031,56.937,62.687,1697,6352,6133,5699,19881,ON,MAXN
1762961555.7934277,2025-11-12 15:32:35.793221,0:21:22.240000,75,70,78,66,69,79,74,72,0.3164189538776016,0.0,0,64.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.687,-256,-256,-256,56.937,39.0,56.843,58.156,57.031,62.687,1697,6571,6133,5600,20001,ON,MAXN
1762961556.7944334,2025-11-12 15:32:36.794250,0:21:23.240000,83,78,65,75,68,73,69,79,0.3165547270043969,0.0,0,56.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.5,-256,-256,-256,56.718,42.0,57.031,58.125,57.062,63.156,1697,6790,6128,5699,20314,ON,MAXN
1762961557.7959518,2025-11-12 15:32:37.795728,0:21:24.240000,73,87,71,71,67,68,72,69,0.31717518601681854,0.0,0,70.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.781,-256,-256,-256,56.718,41.0,57.093,58.062,57.281,62.781,1697,6352,6347,5699,20095,ON,MAXN
1762961558.7974224,2025-11-12 15:32:38.797239,0:21:25.240000,71,71,65,67,63,67,77,60,0.3169098748927621,0.0,0,13.4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.281,-256,-256,-256,56.437,41.0,57.031,58.343,57.156,63.281,1697,6571,5909,5699,19876,ON,MAXN
1762961559.7988603,2025-11-12 15:32:39.798692,0:21:26.240000,56,66,66,74,67,86,67,68,0.3161911807782918,0.0,0,60.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.031,-256,-256,-256,56.562,41.0,57.093,58.25,57.031,63.218,1697,6352,6133,5699,19881,ON,MAXN
1762961560.8002956,2025-11-12 15:32:40.800118,0:21:27.240000,58,65,64,81,74,71,64,66,0.31685324973678847,0.0,0,45.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.25,-256,-256,-256,56.718,38.0,57.093,58.312,57.156,63.25,1697,6571,6133,5699,20100,ON,MAXN
1762961561.8013854,2025-11-12 15:32:41.801216,0:21:28.240000,67,58,60,57,60,66,70,67,0.31622681008991566,0.0,0,57.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.062,-256,-256,-256,56.656,40.0,57.093,58.375,57.125,63.093,1697,6133,6133,5600,19563,ON,MAXN
1762961562.8028274,2025-11-12 15:32:42.802653,0:21:29.240000,66,59,61,63,75,72,66,67,0.3149992530569313,0.0,0,49.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.812,-256,-256,-256,56.75,39.0,57.312,58.312,57.281,62.812,1697,6133,5914,5600,19344,ON,MAXN
1762961563.8036466,2025-11-12 15:32:43.803478,0:21:30.240000,59,52,68,61,69,58,69,62,0.3150292834767286,0.0,0,33.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.218,-256,-256,-256,57.156,38.0,57.312,58.281,57.218,63.093,1697,6133,5914,5600,19344,ON,MAXN
1762961564.8051455,2025-11-12 15:32:44.804928,0:21:31.240000,75,60,67,77,60,59,73,69,0.31506974819493,0.0,0,66.6,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.218,-256,-256,-256,56.937,40.0,57.312,58.281,57.312,62.937,1697,6133,6133,5600,19563,ON,MAXN
1762961565.8083274,2025-11-12 15:32:45.808139,0:21:32.240000,66,59,56,83,60,63,57,58,0.31559731650204653,0.0,0,61.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.75,-256,-256,-256,56.812,38.0,57.156,58.25,57.281,62.625,1597,5914,5914,5600,19025,ON,MAXN
1762961566.8094058,2025-11-12 15:32:46.809218,0:21:33.240000,67,58,67,68,76,66,60,72,0.3153650897387837,0.0,0,47.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.343,-256,-256,-256,57.156,38.0,57.281,58.531,57.281,63.343,1697,6352,5914,5600,19563,ON,MAXN
1762961567.8164473,2025-11-12 15:32:47.816261,0:21:34.240000,70,76,61,72,60,67,59,71,0.31536547148140825,0.0,0,55.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.437,-256,-256,-256,57.062,39.0,57.281,58.437,57.375,63.437,1697,6571,6133,5600,20001,ON,MAXN
